month,year,electricity_kwh,gas_m3,flights_hours,car_km,commute_km_per_day,waste_landfill_kg,waste_recycled_kg,water_liters
January,2024,48000,1400,120,9000,12,900,450,31000
February,2024,44000,1200,110,8500,12,880,460,30000
March,2024,42000,1100,150,8700,12,860,470,29500
April,2024,40000,900,180,8800,13,820,500,29000
May,2024,38000,850,210,9000,13,800,520,28500
June,2024,39000,800,230,9200,13,780,540,28000
July,2024,41000,750,240,9300,13,760,560,27800
August,2024,40500,750,235,9250,13,750,570,27600
September,2024,39500,800,210,9100,13,740,580,27400
October,2024,42000,900,180,8900,12,730,590,28200
November,2024,45000,1100,150,8800,12,720,600,29500
December,2024,47000,1300,130,8700,11,710,610,30500

